user_did,ap_did,ap_method,dp_did,dp_method,reputation_score
did:etho:c383cb70f718ea70a41f8d4838d3d856c2e3b8ae,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:6df4c597045649b8407c60e2563778b1d2114e00,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:f34f40ab89a3ff720105e2e5cf4dbda276342460,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:06040158f9dd01fb6cc71ad99ec854c1a5a69ee9,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:93ec484eda3e17fa9ab934d9549be9c209f37c39,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:841ad0abab2d33520ca236a2f5d8b038addc12ba,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,250
did:etho:2020d25530cf90f48f176da7cd3d3c1cd282d400,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:843d2693431c6a20696e270713cc820d978df593,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:1Cd725482C48f85325f57CE9fCbc3997deC83c92,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:511b5DA3757042b64e36cB259ec5248c163D15AD,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
